prod_id;prod_name;prod_description;prod_brand;category;prod_unit_price
42332947;Desodorante Nivea barrra aclarante efecto satín antitranspirante ;Desodorante Nivea barrra aclarante efecto satín antitranspirante x 50 g;NIVEA;Cuidado Personal;15590
50196364;Whisky Buchanans Deluxe ;Whisky Buchanans Deluxe x 1000 ml;BUCHANANS;Vinos y Licores;133990
50196388;Whisky Buchanans Deluxe ;Whisky Buchanans Deluxe x 750 ml;BUCHANAN'S;Vinos y Licores;112990
75024956;Desodorante Rexona v8 men stick ;Desodorante Rexona v8 men stick x 50g;REXONA;Cuidado Personal;16590
75025922;Antitranspirante en barra Axe dark temptation ;Antitranspirante en barra Axe dark temptation x 50 g;AXE;Cuidado Personal;15590
75026608;Desodorante Rexona sportfan men stick ;Desodorante Rexona sportfan men stick x 50g;REXONA;Cuidado Personal;16590
75027513;Desodorante en barra Dove original ;Desodorante en barra Dove original x 89 g;DOVE;Cuidado Personal;11193
75027537;Desodorante en barra Dove invisible dry ;Desodorante en barra Dove invisible dry x 50 g;DOVE;Cuidado Personal;18590
75027551;Desodorante Dove ;Desodorante Dove x50gr Stick Clear Tone;DOVE;Cuidado Personal;13013
75031060;Desodorante en barra Dove clean comfort ;Desodorante en barra Dove clean comfort x 50 g;DOVE;Cuidado Personal;18590
75032715;Cerveza corona botella ;Cerveza corona botella x 355 ml;CORONA;Vinos y Licores;4790
75034238;Desodorante en barra Dove dermo aclarant ;Desodorante en barra Dove dermo aclarant x 50 g;DOVE;Cuidado Personal;17990
75058821;Antitranspirante Rexona Motionsense Antibacterial en barra ;Antitranspirante Rexona Motionsense Antibacterial en barra x50g;REXONA;Cuidado Personal;17590
75058838;Antitranspirante Rexona Men Motionsense Antibacterialen barra ;Antitranspirante Rexona Men Motionsense Antibacterialen barra x50g;REXONA;Cuidado Personal;16590
75058845;Antitranspirante .Rexona Motionsense Antibacterial Roll Onx50ml;Antitranspirante .Rexona Motionsense Antibacterial Roll Onx50ml;REXONA;Cuidado Personal;7973
75060206;Antitranspirante Axe Collision Fresh Protection brr.x50g;Antitranspirante Axe Collision Fresh Protection brr.x50g;AXE;Cuidado Personal;14590
75062613;Espuma para afeitar Gillette prestobarba sensitive ;Espuma para afeitar Gillette prestobarba sensitive x 56 g;GILLETTE;Cuidado Personal;5790
75063092;Antitranspirante Dove serum aclarante barra ;Antitranspirante Dove serum aclarante barra x 50 g;DOVE;Cuidado Personal;18590
75063115;Antitranspirante Dove serum aclarante roll on ;Antitranspirante Dove serum aclarante roll on x 50 ml;DOVE;Cuidado Personal;15590
77010520;Esencia Levapan Coco ;Esencia Levapan Coco x 60 cc;LEVAPAN;Dulces y postres;2890
77010582;Esencia Levapan De Vainilla ;Esencia Levapan De Vainilla x 60 cc;LEVAPAN;Dulces y postres;2990
77010599;Esencia Levapan Vainilla Caramelo ;Esencia Levapan Vainilla Caramelo x 60 cc;LEVAPAN;Dulces y postres;2890
77012159;Galleta con Masmelo Nestlé Beso de Negra ;Galleta con Masmelo Nestlé Beso de Negra x 32 g.;BESO DE NEGRA;Dulces y postres;1290
77091925;Gaseosa Coca cola cero en vidrio ;Gaseosa Coca cola cero en vidrio x 300 ml;COCA COLA;Bebidas;2390
77093189;Gaseosa Coca cola sin calorías en Vidrio ;Gaseosa Coca cola sin calorías en Vidrio x 300 ml;COCA COLA;Bebidas;2290
77940704;Antitranspirante Rexona odorono crema ;Antitranspirante Rexona odorono crema x 60g;REXONA;Cuidado Personal;6190
78004498;Desodorante Rexona bamboo women stick ;Desodorante Rexona bamboo women stick x 50g;REXONA;Cuidado Personal;11193
78084117;Desodorante Rexona cotton women stick ;Desodorante Rexona cotton women stick x 50g;REXONA;Cuidado Personal;17590
78600010;Tic Tac menta ;Tic Tac menta x 16g;TIC TAC;Dulces y postres;1750
78600027;Tic Tac naranja ;Tic Tac naranja x 16 g;TIC TAC;Dulces y postres;1790
78909434;Bombón Ferrero Rocher ;Bombón Ferrero Rocher x 3 und.;FERRERO ROCHER;Dulces y postres;5790
78923454;Desodorante Rexona v8 men roll on ;Desodorante Rexona v8 men roll on x 50ml;REXONA;Cuidado Personal;13390
78924468;Desodorante roll on Dove original ;Desodorante roll on Dove original x 50 ml;DOVE;Cuidado Personal;10073
78924482;Desodorante roll on Dove clear tone ;Desodorante roll on Dove clear tone x 50 ml;DOVE;Cuidado Personal;14590
78928503;Desodorante roll on Dove dermo aclarant ;Desodorante roll on Dove dermo aclarant x 50 ml;DOVE;Cuidado Personal;9793
78939448;Antitranspirante Rexona clinical classic mujer roll on ;Antitranspirante Rexona clinical classic mujer roll on x 50 ml;REXONA;Cuidado Personal;13390
78939455;Antitranspirante Rexona men clinical clean roll on ;Antitranspirante Rexona men clinical clean roll on x 50 ml;REXONA;Cuidado Personal;13390
80050117;Chocolate Kinder sorpresa miraculous ;Chocolate Kinder sorpresa miraculous x 20g;KINDER;Dulces y postres;4490
80052760;Chocolatina bueno-barra Kinder ;Chocolatina bueno-barra Kinder x 43g;KINDER;Pasabocas;4490
80135463;Nutella Crema Avellanas con Cacao y Leche ;Nutella Crema Avellanas con Cacao y Leche x 200 g;NUTELLA;Pasabocas;12590
80135692;Chocolate Kinder sorpresa star wars ;Chocolate Kinder sorpresa star wars x 20g;KINDER;Dulces y postres;4490
80135906;Bombón Ferrero Rocher ;Bombón Ferrero Rocher x5und.x62.5g;FERRERO ROCHER;Dulces y postres;10590
80176800;Nutella Crema Avellanas con Cacao y Leche ;Nutella Crema Avellanas con Cacao y Leche x 750g;NUTELLA;Pasabocas;32990
80177173;Nutella Crema Avellanas con Cacao y Leche ;Nutella Crema Avellanas con Cacao y Leche x 350g;NUTELLA;Pasabocas;15990
80177609;Chocolate Kinder barra ;Chocolate Kinder barra x 4 und x50g;KINDER;Dulces y postres;2990
80741244;Huevo Kinder sorpresa niño ;Huevo Kinder sorpresa niño x 20 g;KINDER;Dulces y postres;4290
80741251;Chocolate kínder sorpresa niña ;Sorpresa Nia;KINDER;Dulces y postres;5130
87187250;Queso de untar Kids Eru  ;Queso de untar Kids Eru  x 100 g;PREMIUM CHOICE;Charcutería;9000
87187366;Queso de untar jamón Eru ;Queso de untar jamón Eru x 100 g;ERU;Charcutería;5880
90167249;Bebida Pfanner bio zanahoria ;Bebida Pfanner bio zanahoria x 500 ml;PFANNER;Bebidas;6990
90167829;Pfanner Té Verde bio ;Pfanner Té Verde bio x 1l;PFANNER;Bebidas;3992
11111124127;Dove Jabón Corporal Liquido 12Oz;Dove Jabón Corporal Liquido 12Oz;DOVE;Cuidado Personal;13590
12354071704;Vino penfolds bin 128 coonawarra shiraz bot.x750ml;Vino penfolds bin 128 coonawarra shiraz bot.x750ml;PENFOLDS;Vinos y Licores;294990
12354072398;Vino Penfolds koonunga hill shiraz botella ;Vino Penfolds koonunga hill shiraz botella x 750 ml;PENFOLDS;Vinos y Licores;131990
14979510620;Premezcla de arroz Nnova Rice para panqueque ;Premezcla de arroz Nnova Rice para panqueque x 500g;NNOVA RICE;Dulces y postres;19990
14979510637;Premezcla de arroz Nnova Rice para pan ;Premezcla de arroz Nnova Rice para pan x 500g;NNOVA RICE;Dulces y postres;17990
14979510941;Premezcla de arroz Nnova Rice brownie ;Premezcla de arroz Nnova Rice brownie x 500g;NNOVA RICE;Dulces y postres;19990
14979511054;Empanizador de arroz Nnova rice ;Empanizador de arroz Nnova rice x 100 g;NNOVA RICE;Despensa;3990
